13114352.593570 4.765E-40 1.878E-05.04000.000 6811.69410.660.000000       X3/2   5       X1/2   0                PQ 18.5fe     232010 5 2 2 0 1 0    76.0   76.0
13114353.060030 4.999E-40 1.878E-05.04000.000 6801.82010.660.000000       X3/2   5       X1/2   0                PQ 18.5ef     232010 5 2 2 0 1 0    76.0   76.0
13114353.421070 7.050E-54 3.818E-03.04000.00014219.27710.660.000000       X3/2  10       X1/2   4                OP  6.5ee     332010 5 2 2 0 1 0    24.0   28.0
13114353.812500 3.145E-36 1.756E-05.04000.000 4939.77180.660.000000       X3/2   5       X1/2   0                OP 15.5ee     232010 5 2 2 0 1 0    60.0   64.0
13114354.285080 1.025E-52 3.754E-01.04000.00014695.89290.660.000000       X3/2  10       X3/2   4                PP  9.5ff     242010 5 2 2 0 1 0    36.0   40.0
13114354.318670 7.066E-54 3.819E-03.04000.00014218.82720.660.000000       X3/2  10       X1/2   4                OP  6.5ff     332010 5 2 2 0 1 0    24.0   28.0
13114356.068010 1.040E-52 3.755E-01.04000.00014692.92950.660.000000       X3/2  10       X3/2   4                PP  9.5ee     242010 5 2 2 0 1 0    36.0   40.0
13114357.435200 3.082E-46 1.098E-05.04000.000 9672.30170.660.000000       X1/2   5       X3/2   0                QP 23.5ee     232010 5 2 2 0 1 0    92.0   96.0
13114357.485790 1.108E-43 1.059E-04.04000.000 8865.74190.660.000000       X1/2   6       X3/2   1                QP 17.5ff     232010 5 2 2 0 1 0    68.0   72.0
13114360.417200 5.622E-47 1.055E-02.04000.00011435.19660.660.000000       X3/2   6       X3/2   1                RR 21.5ff     232010 5 2 2 0 1 0    92.0   88.0
13114362.801150 1.699E-58 4.814E-04.04000.00016217.73800.660.000000       X1/2   9       X3/2   3                QP 19.5ff     232010 5 2 2 0 1 0    76.0   80.0
13114363.436020 4.899E-47 1.061E-02.04000.00011455.37950.660.000000       X1/2   6       X1/2   1                RR 20.5ee     232010 5 2 2 0 1 0    88.0   84.0
13114364.405990 6.068E-47 1.056E-02.04000.00011419.54880.660.000000       X3/2   6       X3/2   1                RR 21.5ee     232010 5 2 2 0 1 0    92.0   88.0
13114364.823270 1.056E-42 1.041E-05.04000.000 7741.96890.660.000000       X3/2   7       X1/2   2                QR  5.5ee     332010 5 2 2 0 1 0    28.0   24.0
13114365.283160 8.340E-52 6.121E-05.04000.00012634.31360.660.000000       X1/2   7       X3/2   2                SR 18.5ff     232010 5 2 2 0 1 0    80.0   76.0
13114365.801280 1.019E-55 6.546E-03.04000.00015344.09640.660.000000       X3/2  10       X3/2   4                QQ 11.5ef     242010 5 2 2 0 1 0    48.0   48.0
13114366.071300 1.057E-42 1.041E-05.04000.000 7741.74660.660.000000       X3/2   7       X1/2   2                QR  5.5ff     332010 5 2 2 0 1 0    28.0   24.0
13114366.170830 5.177E-47 1.061E-02.04000.00011444.07010.660.000000       X1/2   6       X1/2   1                RR 20.5ff     232010 5 2 2 0 1 0    88.0   84.0
13114366.913160 3.255E-36 1.760E-05.04000.000 4932.83530.660.000000       X3/2   5       X1/2   0                OP 15.5ff     232010 5 2 2 0 1 0    60.0   64.0
13114368.410080 7.413E-53 3.805E-01.04000.00014740.74030.660.000000       X1/2  10       X1/2   4                PP  8.5ee     342010 5 2 2 0 1 0    32.0   36.0
13114369.127960 2.116E-42 9.066E-02.04000.000 9607.83420.660.000000       X3/2   7       X3/2   2                RR 12.5ff     342010 5 2 2 0 1 0    56.0   52.0
